Codice Conto,Descrizione conto,Data operazione,COD,Descrizione operazione,Numero documento,Data documento,Numero Fattura,Importo,Saldo,Contropartita,Costi Diretti,Costi Indiretti,Attività economiche,Attività non economiche,Codice progetto
8.01.009,TRASPORTI PER ACQUISTI ,31/07/2021,1100,FATTURA DI ACQUISTO,48,27/07/2021,250,-10.0,252.6,SILCAM Silcam Italia S.r.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/07/2021,199,ACQUISTI REVERSE CH,3668,27/07/2021,251,10.0,262.6,SILCAM Silcam Italia S.r.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/10/2021,199,ACQUISTI REVERSE CH,1149654,30/09/2021,324,25.0,287.6,SIAD S.I.A.D. S.P.A.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/10/2021,199,ACQUISTI REVERSE CH,5202740,05/10/2021,328,11.0,298.6,FARNEL FARNEL ITALIA S.R.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/10/2021,199,ACQUISTI REVERSE CH,453,01/10/2021,334,20.0,318.6,TECECO TECNO-ECO S.R.L.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,30/11/2021,199,ACQUISTI REVERSE CH,66737,31/10/2021,385,24.15,342.75,SIAD S.I.A.D. S.P.A.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,20/12/2021,199,ACQUISTI REVERSE CH,84994,30/11/2021,445,25.0,367.75,SIAD S.I.A.D. S.P.A.,,,,,
8.01.009,TRASPORTI PER ACQUISTI ,31/12/2021,199,ACQUISTI REVERSE CH,650,15/12/2021,460,20.0,387.75,TECECO TECNO-ECO S.R.L.,,,,,
8.01.010,SPESE SU ACQUISTI ,31/03/2021,199,ACQUISTI REVERSE CH,4655/21,15/03/2021,84,9.0,9.0,PACKSE PACK SERVICES S.R.,,,,,
8.01.010,SPESE SU ACQUISTI ,30/06/2021,199,ACQUISTI REVERSE CH,A5882 ,25/06/2021,199,29.0,38.0,PRODO1 PRODOTTI GIANNI SR,,,,,
8.01.010,SPESE SU ACQUISTI ,31/10/2021,199,ACQUISTI REVERSE CH,453,01/10/2021,334,5.0,43.0,TECECO TECNO-ECO S.R.L.,,,,,
8.01.031,SPESE DI SPEDIZIONE ,31/03/2021,199,ACQUISTI REVERSE CH,26290,28/02/2021,73,31.5,31.5,SIAD S.I.A.D. S.P.A.,,,,,
8.01.031,SPESE DI SPEDIZIONE ,30/04/2021,199,ACQUISTI REVERSE CH,40,23/04/2021,128,120.0,151.5,DAMBGI DITTA D'AMBRA GIUS,,,,,
8.01.031,SPESE DI SPEDIZIONE ,30/04/2021,199,ACQUISTI REVERSE CH,48792,31/03/2021,107,199.4,350.9,SIAD S.I.A.D. S.P.A.,,,,,
8.04.000,COSTO DEL PERSONALE ,20/12/2021,100,FATTURA DI ACQUISTO,64813,11/12/2021,451,840.0,840.0,AMAEU Amazon EU S.a r.l.,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/01/2021,150,"RETRIBUZ,THETA GENN", ,31/01/2021, ,5707.0,5707.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/01/2021,150,RETRIBUZ.BETA GENNA, ,31/01/2021, ,5981.0,11688.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/01/2021,150,RETRIBUZ.LAMBDA GEN, ,31/01/2021, ,19782.0,31470.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,28/02/2021,150,"RETRIBUZ,THETA FEBB", ,28/02/2021, ,5707.0,37177.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,28/02/2021,150,RERIBUZ.LAMBDA FEBB, ,28/02/2021, ,19782.0,56959.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,28/02/2021,150,"RETRIBUZ,BETA FEBBR", ,28/02/2021, ,5981.0,62940.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/03/2021,150,RETRIBUZ.THETA MARZ, ,31/03/2021, ,5707.0,68647.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/03/2021,150,RETRIBUZ.LAMBDA MAR, ,31/03/2021, ,19782.0,88429.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/03/2021,150,RETRIBUZ.BETA MARZO, ,31/03/2021, ,5981.0,94410.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/04/2021,150,RETRIBUZ.BETA APRIL, ,30/04/2021, ,6211.0,100621.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/04/2021,150,RETRIBUZ.THETA APRI, ,30/04/2021, ,5926.0,106547.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/04/2021,150,RETRIBUZ.LAMBDA APR, ,30/04/2021, ,20316.0,126863.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/05/2021,150,"RETRIBUZ,LAMBDA MAG", ,31/05/2021, ,19782.0,146645.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/05/2021,150,RETRIBUZ.ETA MAGGIO, ,31/05/2021, ,2395.0,149040.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/05/2021,150,RETRIBUZ.THETA MAGG, ,31/05/2021, ,5865.0,154905.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/05/2021,150,RETRIBUZ.BETA MAGGI, ,31/05/2021, ,7029.0,161934.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/06/2021,150,RETRIBU.BETA GIUGNO, ,30/06/2021, ,3466.0,165400.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/06/2021,150,"RETRIBUZ,LAMBDA GIU", ,30/06/2021, ,19782.0,185182.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/06/2021,150,RETRIBUZ.ETA GIUGNO, ,30/06/2021, ,2395.0,187577.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/06/2021,150,RETRIBUZIONI THETA , ,30/06/2021, ,6186.0,193763.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/07/2021,150,"RETRIBUZ,LAMBDA LUG", ,31/07/2021, ,19350.0,213113.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/07/2021,150,RETRIB.ETA LUGLIO , ,31/07/2021, ,2421.0,215534.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/07/2021,150,RETRIBUZ.BETA LUGLI, ,31/07/2021, ,3495.0,219029.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/07/2021,150,RETRIBUZ.THETA LUGL, ,31/07/2021, ,4629.0,223658.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/08/2021,150,RETRIBUZ.BETA AGOST, ,31/08/2021, ,3763.0,227421.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/08/2021,150,RETRIBUZ.THETA AGOS, ,31/08/2021, ,2148.0,229569.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/08/2021,150,RETRIBUZ.LAMBDA AGO, ,31/08/2021, ,20846.0,250415.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/08/2021,150,RETRIBUZ.ETA AGOSTO, ,31/08/2021, ,2608.0,253023.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/09/2021,150,RETRIBUZ.THETA SETT, ,30/09/2021, ,1994.0,255017.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/09/2021,150,RETRIBUZ.LAMBDA SET, ,30/09/2021, ,20451.0,275468.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/09/2021,150,RETRIB.ETA SETTEMBR, ,30/09/2021, ,2421.0,277889.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/09/2021,150,"RETRIBUZ,BETA SETTE", ,30/09/2021, ,6116.0,284005.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/10/2021,150,RETRIBUZ.BETA OTTOB, ,31/10/2021, ,3650.0,287655.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/10/2021,150,RETRIBUZ.LAMBDA OTT, ,31/10/2021, ,19902.0,307557.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/10/2021,150,RETRIB.ETA OTTOBRE , ,31/10/2021, ,2421.0,309978.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/10/2021,150,RETRIBUZ.THETA OTTO, ,31/10/2021, ,3656.0,313634.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/11/2021,150,RETRIB.BETA NOVEMBR, ,30/11/2021, ,3790.0,317424.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/11/2021,150,RETRIB.LAMBDA NOVEM, ,30/11/2021, ,20437.0,337861.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,30/11/2021,150,RETRIB.ETA NOVEMBRE, ,30/11/2021, ,2515.0,340376.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/12/2021,150,RETRIBUZ.BETA , ,31/12/2021, ,4703.0,345079.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/12/2021,150,RETRIB.LAMBDA DICEM, ,31/12/2021, ,40341.0,385420.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/12/2021,150,RETRIB.LAMBDA DICEM, ,31/12/2021, ,1120.0,386540.0, diversi a diversi,,,,,
8.04.002,STIPENDI IMPIEGATI ,31/12/2021,150,RETRIBUZ.ETA DICEMB, ,31/12/2021, ,4129.0,390669.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/01/2021,150,COMPENSI ALFA GENNA, ,31/01/2021, ,3078.0,3078.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/01/2021,150,RETRIBUZ.OMEGA GENN, ,31/01/2021, ,9488.0,12566.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/01/2021,150,RETRIBUZ.KAPPA GENN, ,31/01/2021, ,1294.0,13860.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/01/2021,150,RETRIBUZ.IOTA GENNA, ,31/01/2021, ,1557.0,15417.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/01/2021,150,"RETRIBUZ,THETA GENN", ,31/01/2021, ,10870.0,26287.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/01/2021,150,RETRIBUZ.BETA GENNA, ,31/01/2021, ,25589.0,51876.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,28/02/2021,150,RETRIBUZ.ALFA FEBBR, ,28/02/2021, ,3078.0,54954.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,28/02/2021,150,"RETRIBUZ,OMEGA FEBB", ,28/02/2021, ,6588.0,61542.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,28/02/2021,150,RETRIBUZ.ZETA FEBBR, ,28/02/2021, ,734.0,62276.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,28/02/2021,150,"RETRIBUZ,THETA FEBB", ,28/02/2021, ,10870.0,73146.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,28/02/2021,150,RETRIBUZ.KAPPA FEBB, ,28/02/2021, ,2584.0,75730.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,28/02/2021,150,RETRIBUZIONI TAU FE, ,28/02/2021, ,3188.0,78918.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,28/02/2021,150,RETRIBUZ.IOTA FEBBR, ,28/02/2021, ,1557.0,80475.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,28/02/2021,150,"RETRIBUZ,BETA FEBBR", ,28/02/2021, ,17451.0,97926.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/03/2021,150,RETRIBUZ.ALFA MARZO, ,31/03/2021, ,1294.0,99220.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/03/2021,150,RETRIBUZ.OMEGA MARZ, ,31/03/2021, ,6588.0,105808.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/03/2021,150,RETRIBUZ.ZETA MARZO, ,31/03/2021, ,4104.0,109912.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/03/2021,150,RETRIBUZ.THETA MARZ, ,31/03/2021, ,5069.0,114981.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/03/2021,150,"RETRIBUZ,KAPPA MARZ", ,31/03/2021, ,2588.0,117569.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/03/2021,150,RETRIBUZ.TAU MARZO , ,31/03/2021, ,3188.0,120757.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/03/2021,150,RETRIBUZ.IOTA MARZO, ,31/03/2021, ,1557.0,122314.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/03/2021,150,RETRIBUZ.BETA MARZO, ,31/03/2021, ,17181.0,139495.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/04/2021,150,RETRIBUZ.ALFA APRIL, ,30/04/2021, ,1294.0,140789.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/04/2021,150,RETRIBUZ.BETA APRIL, ,30/04/2021, ,15094.0,155883.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/04/2021,150,"RETRIBUZ,OMEGA APRI", ,30/04/2021, ,6588.0,162471.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/04/2021,150,RETRIBUZIONI ZETA A, ,30/04/2021, ,7232.0,169703.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/04/2021,150,RETRIBUZ.THETA APRI, ,30/04/2021, ,5069.0,174772.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/04/2021,150,RETRIBUZ.KAPPA AGOS, ,30/04/2021, ,2588.0,177360.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/04/2021,150,RETRIBUZ.TAU APRILE, ,30/04/2021, ,4810.0,182170.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/04/2021,150,RETRIBUZ.IOTA APRIL, ,30/04/2021, ,3431.0,185601.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/05/2021,150,RETRIBUZ.ALFA MAGGI, ,31/05/2021, ,712.0,186313.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/05/2021,150,RETRIBUZ.OMEGA MAGG, ,31/05/2021, ,3582.0,189895.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/05/2021,150,RETRIBUZ.ZETA MAGGI, ,31/05/2021, ,7800.0,197695.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/05/2021,150,RETRIBUZ.KAPPA MAGG, ,31/05/2021, ,2002.0,199697.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/05/2021,150,RETRIBUZ.TAU MAGGIO, ,31/05/2021, ,4810.0,204507.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/05/2021,150,RETRIBUZ.IOTA MAGGI, ,31/05/2021, ,3431.0,207938.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/05/2021,150,RETRIBUZ.THETA MAGG, ,31/05/2021, ,2920.0,210858.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/05/2021,150,RETRIBUZ.BETA MAGGI, ,31/05/2021, ,15094.0,225952.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/06/2021,150,RETRIBUZ.ALFA GIUGN, ,30/06/2021, ,3582.0,229534.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/06/2021,150,RETRIBU.BETA GIUGNO, ,30/06/2021, ,15240.0,244774.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/06/2021,150,RETRIBUZ.OMEGA GIUG, ,30/06/2021, ,5725.0,250499.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/06/2021,150,RETRIBUZ.ZETA GIUGN, ,30/06/2021, ,7800.0,258299.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/06/2021,150,RETRIBUZ.KAPPA GIUG, ,30/06/2021, ,1290.0,259589.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/06/2021,150,RETRIBUZ.TAU GIUGNO, ,30/06/2021, ,4810.0,264399.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/06/2021,150,"RETRIBUZ,IOTA GIUGN", ,30/06/2021, ,3431.0,267830.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/06/2021,150,RETRIBUZIONI THETA , ,30/06/2021, ,5069.0,272899.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,150,RETRIBUZ.ALFA LUGLI, ,31/07/2021, ,5745.0,278644.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,150,RETRIBUZ.OMEGA LUGL, ,31/07/2021, ,5725.0,284369.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,150,RETRIBUZ.KAPPA LUGL, ,31/07/2021, ,1290.0,285659.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,150,RETRIBUZ.TAU LUGLIO, ,31/07/2021, ,1440.0,287099.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,150,RETRIBUZ.IOTA LUGLI, ,31/07/2021, ,1557.0,288656.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,150,RETRIBUZ.RHO LUGLIO, ,31/07/2021, ,2122.0,290778.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,150,RETRIBUZ.BETA LUGLI, ,31/07/2021, ,18755.0,309533.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,150,"RETRIBUZ,ZETA LUGLI", ,31/07/2021, ,7800.0,317333.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,150,RETRIBUZ.THETA LUGL, ,31/07/2021, ,7991.0,325324.0, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/07/2021,160,COMPENSO MARRONE CO, ,31/07/2021, ,-5070.91,320253.09,505004 DEBITI V/COLLABORA,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/08/2021,150,RETRIBUZIONI ALFA A, ,31/08/2021, ,5745.0,325998.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/08/2021,150,RETRIBUZ.BETA AGOST, ,31/08/2021, ,21608.0,347606.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/08/2021,150,RETRIBUZ.OMEGA AGOS, ,31/08/2021, ,5725.0,353331.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/08/2021,150,RETRIBUZ.ZETA AGOST, ,31/08/2021, ,7800.0,361131.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/08/2021,150,RETRIBUZ.THETA AGOS, ,31/08/2021, ,2920.0,364051.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/08/2021,150,RETRIBUZ.KAPPA AGOS, ,31/08/2021, ,1290.0,365341.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/08/2021,150,RETRIBUZ.IOTA AGOST, ,31/08/2021, ,3620.0,368961.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/08/2021,150,RETRIBUZ.RHO AGOSTO, ,31/08/2021, ,2122.0,371083.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/09/2021,150,RETRIBUZ.ALFA SETTE, ,30/09/2021, ,5745.0,376828.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/09/2021,150,RETRIBUZ.OMEGA SETT, ,30/09/2021, ,5725.0,382553.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/09/2021,150,RETRIBUZ.ZETA SETTE, ,30/09/2021, ,7800.0,390353.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/09/2021,150,RETRIBUZ.THETA SETT, ,30/09/2021, ,2920.0,393273.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/09/2021,150,RETRIBUZ.KAPPA SETT, ,30/09/2021, ,1290.0,394563.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/09/2021,150,RETRIBUZ.IOTA SETTE, ,30/09/2021, ,2063.0,396626.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/09/2021,150,RETRIBUZ.RHO SETTEM, ,30/09/2021, ,2122.0,398748.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/09/2021,150,"RETRIBUZ,BETA SETTE", ,30/09/2021, ,15370.0,414118.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/10/2021,150,RETRIB.ALFA OTTOBRE, ,31/10/2021, ,5745.0,419863.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/10/2021,150,RETRIBUZ.BETA OTTOB, ,31/10/2021, ,15370.0,435233.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/10/2021,150,RETRIBUZ.OMEGA OTTO, ,31/10/2021, ,3582.0,438815.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/10/2021,150,RETRIBUZ.ZETA OTTOB, ,31/10/2021, ,7232.0,446047.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/10/2021,150,RETRIBUZ.KAPPA OTTO, ,31/10/2021, ,1290.0,447337.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/10/2021,150,"RETRIB,IOTA OTTOBRE", ,31/10/2021, ,2063.0,449400.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/10/2021,150,RETRIBUZ.RHO OTTOBR, ,31/10/2021, ,2122.0,451522.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,31/10/2021,150,RETRIBUZ.THETA OTTO, ,31/10/2021, ,2920.0,454442.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/11/2021,150,RETRIB.ALFA NOVEMBR, ,30/11/2021, ,5745.0,460187.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/11/2021,150,RETRIB.BETA NOVEMBR, ,30/11/2021, ,15370.0,475557.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/11/2021,150,RETRIBUZ.OMEGA NOVE, ,30/11/2021, ,3582.0,479139.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/11/2021,150,RETRIB.THETA NOVEMB, ,30/11/2021, ,2920.0,482059.09, diversi a diversi,,,,,
8.04.004,COMPENSI PER CONTRATTI A PROGETTO ,30/11/2021,150,RETRIBUZ.KAPPA NOVE, ,30/11/2021, ,1290.0,483349.09, diversi a diversi,,,,,
